Timestamp,"By clicking ""I agree"" below you are indicating that you are at least 18 years of age, have read the above, and agree to participate in this research activity. *","Which of the following statements comes closest to your view, even if neither is exactly right? ","In general, would you say that the content posted on social media provides an accurate picture of how society as a whole feels about important issues?", How FAIR do you think this type of program would be to consumers?,Do you think it is acceptable or not for the criminal justice system to use this type of program?,Do you think it is acceptable or not for companies to use this type of program when hiring job candidates?,Do you think it is acceptable or not for companies to use this type of program when hiring job candidates?,"Paying attention and reading the instructions carefully is critical. If you are paying attention, please choose Silver below.",What is your MTurk Worker's ID? *,What is your gender?,What is your age (in years)?,What is the highest degree or level of school you have completed?,"Are you of Hispanic, Latino, or Spanish origin such as Mexican, Chicano, Puerto Rican or Cuban?",Which of the following describes your race and/or ethnic background? Select one or more.,In what state do you live?,Thank you for your participation in this study.Remember this validation code: 117766. Write this down. You will need to enter your validation code into the MTurk HIT to receive payment.
6/18/2020 11:45:21,I agree,Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,A2QSSH2RFOAEA6,Male,33,"Bachelor's degree (for example: BA, BS)",Yes,White,Oklahoma,117766
6/18/2020 11:45:34,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,White,A3A287B89LC8CK,Female,66,"Bachelor's degree (for example: BA, BS)",No,White,California,
6/18/2020 11:47:39,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Not acceptable,No answer,Silver,A16IS57RFMJ8IL,Female,39,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Yes,White,California,
6/18/2020 11:48:07,I agree,It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Somewhat fair,Not acceptable,Acceptable,Acceptable,Silver,A2A6FH0F7LD9ND,Female,56,High school graduate (including GED or alternative credential),No,White,New Jersey,117766  (done)
6/18/2020 11:49:45,I agree,Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not fair at all,Not acceptable,Not acceptable,Acceptable,Silver,AZ69TBTDH7AZS,Male,27,"Bachelor's degree (for example: BA, BS)",No,"White, Black or African American, Other",Florida,117766
6/18/2020 11:52:40,I agree,Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Somewhat fair,Acceptable,Not acceptable,Not Acceptable,Silver,A3PYD7EU2WFST6,Male,30,"Bachelor's degree (for example: BA, BS)",No,Black or African American,Washington,117766
6/18/2020 11:53:40,I agree,Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not fair at all,Not acceptable,Not acceptable,Not Acceptable,Silver,A2541C8MY0BYV3,Male,29,"Some college or Associate's Degree (for example: AA, AS)",No,White,Florida,117766
6/18/2020 11:54:04,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Very fair,Acceptable,Acceptable,Acceptable,Silver,A1PRS1GBQXKSXH,Male,45,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",No,White,California,117766
6/18/2020 11:54:23,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Not acceptable,Acceptable,Silver,A2E0LU8V4EUX5C,Male,28,"Bachelor's degree (for example: BA, BS)",No,White,New York,117766
6/18/2020 11:56:32,I agree,It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Not very fair,Acceptable,Not acceptable,Acceptable,Silver,A1PR74OHURJNTO,Male,29,"Bachelor's degree (for example: BA, BS)",No,White,Ohio,117766
